name,code,weight
144,TEST-144,70
145,TEST-145,59
146,TEST-146,88
147,TEST-147,92
148,TEST-148,29
149,TEST-149,30
150,TEST-150,88
151,TEST-151,31
152,TEST-152,61
153,TEST-153,47
154,TEST-154,13
155,TEST-155,67
156,TEST-156,48
157,TEST-157,41
158,TEST-158,80
159,TEST-159,66
160,TEST-160,56
161,TEST-161,38
162,TEST-162,55
163,TEST-163,93
164,TEST-164,55
165,TEST-165,32
166,TEST-166,57
167,TEST-167,25
168,TEST-168,8
169,TEST-169,35
170,TEST-170,94
171,TEST-171,4
172,TEST-172,41
173,TEST-173,70
174,TEST-174,96
175,TEST-175,98
176,TEST-176,87
177,TEST-177,95
178,TEST-178,16
179,TEST-179,85
180,TEST-180,90
181,TEST-181,79
182,TEST-182,79
183,TEST-183,95
184,TEST-184,67
185,TEST-185,73
186,TEST-186,1
187,TEST-187,41
188,TEST-188,41
189,TEST-189,4
190,TEST-190,22
191,TEST-191,41
192,TEST-192,37
193,TEST-193,98
194,TEST-194,87
195,TEST-195,57
196,TEST-196,28
197,TEST-197,7
198,TEST-198,94
199,TEST-199,58
200,TEST-200,3
201,TEST-201,69
202,TEST-202,7
203,TEST-203,14
204,TEST-204,62
205,TEST-205,43
206,TEST-206,52
207,TEST-207,24
208,TEST-208,1
209,TEST-209,61
210,TEST-210,56
211,TEST-211,26
212,TEST-212,53
213,TEST-213,65
214,TEST-214,36
215,TEST-215,45
216,TEST-216,43
217,TEST-217,80
218,TEST-218,21
219,TEST-219,82
220,TEST-220,20
221,TEST-221,38
222,TEST-222,8
223,TEST-223,83
224,TEST-224,72
225,TEST-225,45
226,TEST-226,78
227,TEST-227,10
228,TEST-228,20
229,TEST-229,95
230,TEST-230,44
231,TEST-231,2
232,TEST-232,79
233,TEST-233,53
234,TEST-234,61
235,TEST-235,33
236,TEST-236,61
237,TEST-237,41
238,TEST-238,42
239,TEST-239,3
240,TEST-240,60
241,TEST-241,3
242,TEST-242,97
243,TEST-243,94
244,TEST-244,11
245,TEST-245,36
246,TEST-246,59
247,TEST-247,56
248,TEST-248,15
249,TEST-249,76
250,TEST-250,99
251,TEST-251,42
252,TEST-252,72
253,TEST-253,18
254,TEST-254,36
255,TEST-255,3
256,TEST-256,14
257,TEST-257,29
258,TEST-258,55
259,TEST-259,93
260,TEST-260,55
261,TEST-261,46
262,TEST-262,37
263,TEST-263,79
264,TEST-264,8
265,TEST-265,45
266,TEST-266,59
267,TEST-267,45
268,TEST-268,1
269,TEST-269,63
270,TEST-270,33
271,TEST-271,3
272,TEST-272,69
273,TEST-273,98
274,TEST-274,41
275,TEST-275,72
276,TEST-276,34
277,TEST-277,36
278,TEST-278,26
279,TEST-279,87
280,TEST-280,46
281,TEST-281,95
282,TEST-282,95
283,TEST-283,8
284,TEST-284,43
285,TEST-285,62
286,TEST-286,8
287,TEST-287,72
288,TEST-288,97
289,TEST-289,55
290,TEST-290,74
291,TEST-291,60
292,TEST-292,87
293,TEST-293,70
294,TEST-294,16
295,TEST-295,5
296,TEST-296,64
297,TEST-297,45
298,TEST-298,43
299,TEST-299,22
300,TEST-300,11
301,TEST-301,92
302,TEST-302,66
303,TEST-303,8
304,TEST-304,58
305,TEST-305,80
306,TEST-306,17
307,TEST-307,24
308,TEST-308,34
309,TEST-309,94
310,TEST-310,22
311,TEST-311,60
312,TEST-312,41
313,TEST-313,38
314,TEST-314,46
315,TEST-315,50
316,TEST-316,15
317,TEST-317,78
318,TEST-318,24
319,TEST-319,13
320,TEST-320,57
321,TEST-321,56
322,TEST-322,3
323,TEST-323,28
324,TEST-324,29
325,TEST-325,74
326,TEST-326,49
327,TEST-327,50
328,TEST-328,23
329,TEST-329,92
330,TEST-330,23
331,TEST-331,83
332,TEST-332,76
333,TEST-333,82
334,TEST-334,63
335,TEST-335,84
336,TEST-336,98
337,TEST-337,8
338,TEST-338,70
339,TEST-339,96
340,TEST-340,46
341,TEST-341,81
342,TEST-342,68
343,TEST-343,40
344,TEST-344,37
345,TEST-345,3
346,TEST-346,89
347,TEST-347,9
348,TEST-348,49
349,TEST-349,63
350,TEST-350,3
351,TEST-351,60
352,TEST-352,93
353,TEST-353,19
354,TEST-354,61
355,TEST-355,2
356,TEST-356,48
357,TEST-357,82
358,TEST-358,82
359,TEST-359,76
360,TEST-360,57
361,TEST-361,82
362,TEST-362,54
363,TEST-363,7
364,TEST-364,7
365,TEST-365,11
366,TEST-366,91
367,TEST-367,17
368,TEST-368,44
369,TEST-369,49
370,TEST-370,98
371,TEST-371,15
372,TEST-372,100
373,TEST-373,79
374,TEST-374,5
375,TEST-375,70
376,TEST-376,43
377,TEST-377,57
378,TEST-378,9
379,TEST-379,75
380,TEST-380,23
381,TEST-381,24
382,TEST-382,48
383,TEST-383,85
384,TEST-384,96
385,TEST-385,3
386,TEST-386,64
387,TEST-387,28
388,TEST-388,65
389,TEST-389,77
390,TEST-390,30
391,TEST-391,7
392,TEST-392,28
393,TEST-393,16
394,TEST-394,54
395,TEST-395,10
396,TEST-396,86
397,TEST-397,10
398,TEST-398,4
399,TEST-399,37
400,TEST-400,4
401,TEST-401,57
402,TEST-402,78
403,TEST-403,14
404,TEST-404,41
405,TEST-405,55
406,TEST-406,2
407,TEST-407,91
408,TEST-408,10
409,TEST-409,15
410,TEST-410,74
411,TEST-411,24
412,TEST-412,31
413,TEST-413,65
414,TEST-414,31
415,TEST-415,6
416,TEST-416,9
417,TEST-417,44
418,TEST-418,2
419,TEST-419,7
420,TEST-420,52
421,TEST-421,40
422,TEST-422,68
423,TEST-423,86
424,TEST-424,45
425,TEST-425,73
426,TEST-426,75
427,TEST-427,8
428,TEST-428,46
429,TEST-429,83
430,TEST-430,85
431,TEST-431,70
432,TEST-432,57
433,TEST-433,82
434,TEST-434,6
435,TEST-435,53
436,TEST-436,90
437,TEST-437,25
438,TEST-438,57
439,TEST-439,65
440,TEST-440,14
441,TEST-441,27
442,TEST-442,66
443,TEST-443,65
444,TEST-444,95
445,TEST-445,30
446,TEST-446,75
447,TEST-447,52
448,TEST-448,30
449,TEST-449,85
450,TEST-450,76
451,TEST-451,57
452,TEST-452,10
453,TEST-453,11
454,TEST-454,50
455,TEST-455,80
456,TEST-456,49
457,TEST-457,12
458,TEST-458,57
459,TEST-459,30
460,TEST-460,83
461,TEST-461,41
462,TEST-462,34
463,TEST-463,73
464,TEST-464,34
465,TEST-465,7
466,TEST-466,23
467,TEST-467,46
468,TEST-468,12
469,TEST-469,77
470,TEST-470,25
471,TEST-471,36
472,TEST-472,86
473,TEST-473,16
474,TEST-474,59
475,TEST-475,42
476,TEST-476,56
477,TEST-477,73
478,TEST-478,58
479,TEST-479,59
480,TEST-480,89
481,TEST-481,39
482,TEST-482,73
483,TEST-483,17
484,TEST-484,94
485,TEST-485,8
486,TEST-486,90
487,TEST-487,29
488,TEST-488,10
489,TEST-489,85
490,TEST-490,46
491,TEST-491,94
492,TEST-492,89
493,TEST-493,60
494,TEST-494,63
495,TEST-495,11
496,TEST-496,93
497,TEST-497,46
498,TEST-498,63
499,TEST-499,79
500,TEST-500,97
501,TEST-501,8
502,TEST-502,57
503,TEST-503,18
504,TEST-504,97
505,TEST-505,73
506,TEST-506,30
507,TEST-507,43
508,TEST-508,60
509,TEST-509,32
510,TEST-510,58
511,TEST-511,24
512,TEST-512,6
513,TEST-513,1
514,TEST-514,4
515,TEST-515,1
516,TEST-516,14
517,TEST-517,37
518,TEST-518,75
519,TEST-519,46
520,TEST-520,69
521,TEST-521,42
522,TEST-522,34
523,TEST-523,58
524,TEST-524,17
525,TEST-525,72
526,TEST-526,86
527,TEST-527,92
528,TEST-528,1
529,TEST-529,32
530,TEST-530,71
531,TEST-531,27
532,TEST-532,55
533,TEST-533,51
534,TEST-534,15
535,TEST-535,65
536,TEST-536,98
537,TEST-537,96
538,TEST-538,84
539,TEST-539,45
540,TEST-540,80
541,TEST-541,73
542,TEST-542,95
543,TEST-543,21
544,TEST-544,64
545,TEST-545,71
546,TEST-546,15
547,TEST-547,69
548,TEST-548,63
549,TEST-549,61
550,TEST-550,40
551,TEST-551,69
552,TEST-552,76
553,TEST-553,5
554,TEST-554,97
555,TEST-555,9
556,TEST-556,90
557,TEST-557,89
558,TEST-558,56
559,TEST-559,51
560,TEST-560,22
561,TEST-561,83
562,TEST-562,89
563,TEST-563,12
564,TEST-564,58
565,TEST-565,36
566,TEST-566,33
567,TEST-567,2
568,TEST-568,7
569,TEST-569,24
570,TEST-570,68
571,TEST-571,89
572,TEST-572,89
573,TEST-573,63
574,TEST-574,48
575,TEST-575,99
576,TEST-576,14
577,TEST-577,51
578,TEST-578,79
579,TEST-579,84
580,TEST-580,86
581,TEST-581,33
582,TEST-582,12
583,TEST-583,54
584,TEST-584,62
585,TEST-585,20
586,TEST-586,29
587,TEST-587,39
588,TEST-588,93
589,TEST-589,46
590,TEST-590,8
591,TEST-591,75
592,TEST-592,74
593,TEST-593,69
594,TEST-594,100
595,TEST-595,91
596,TEST-596,42
597,TEST-597,29
598,TEST-598,62
599,TEST-599,48
600,TEST-600,51
601,TEST-601,29
602,TEST-602,8
603,TEST-603,3
604,TEST-604,60
605,TEST-605,40
606,TEST-606,7
607,TEST-607,53
608,TEST-608,42
609,TEST-609,57
610,TEST-610,52
611,TEST-611,28
612,TEST-612,17
613,TEST-613,62
614,TEST-614,89
615,TEST-615,96
616,TEST-616,63
617,TEST-617,77
618,TEST-618,98
619,TEST-619,90
620,TEST-620,91
621,TEST-621,9
622,TEST-622,5
623,TEST-623,43
624,TEST-624,19
625,TEST-625,26
626,TEST-626,91
627,TEST-627,4
628,TEST-628,86
629,TEST-629,63
630,TEST-630,28
631,TEST-631,18
632,TEST-632,44
633,TEST-633,3
634,TEST-634,69
635,TEST-635,98
636,TEST-636,25
637,TEST-637,61
638,TEST-638,59
639,TEST-639,66
640,TEST-640,7
641,TEST-641,1
642,TEST-642,42
643,TEST-643,22
644,TEST-644,49
645,TEST-645,91
646,TEST-646,37
647,TEST-647,39
648,TEST-648,85
649,TEST-649,75
650,TEST-650,43
651,TEST-651,70
652,TEST-652,60
653,TEST-653,8
654,TEST-654,66
655,TEST-655,38
656,TEST-656,23
657,TEST-657,66
658,TEST-658,9
659,TEST-659,62
660,TEST-660,35
661,TEST-661,26
662,TEST-662,81
663,TEST-663,35
664,TEST-664,31
665,TEST-665,75
666,TEST-666,17
667,TEST-667,92
668,TEST-668,1
669,TEST-669,53
670,TEST-670,12
671,TEST-671,41
672,TEST-672,11
673,TEST-673,29
674,TEST-674,56
675,TEST-675,48
676,TEST-676,57
677,TEST-677,95
678,TEST-678,91
679,TEST-679,67
680,TEST-680,43
681,TEST-681,84
682,TEST-682,55
683,TEST-683,98
684,TEST-684,10
685,TEST-685,54
686,TEST-686,14
687,TEST-687,72
688,TEST-688,88
689,TEST-689,71
690,TEST-690,67
691,TEST-691,97
692,TEST-692,8
693,TEST-693,22
694,TEST-694,53
695,TEST-695,91
696,TEST-696,42
697,TEST-697,16
698,TEST-698,64
699,TEST-699,3
700,TEST-700,41
701,TEST-701,42
702,TEST-702,60
703,TEST-703,26
704,TEST-704,50
705,TEST-705,55
706,TEST-706,83
707,TEST-707,22
708,TEST-708,70
709,TEST-709,27
710,TEST-710,2
711,TEST-711,92
712,TEST-712,11
713,TEST-713,99
714,TEST-714,94
715,TEST-715,33
716,TEST-716,71
717,TEST-717,38
718,TEST-718,67
719,TEST-719,74
720,TEST-720,91
721,TEST-721,50
722,TEST-722,31
723,TEST-723,2
724,TEST-724,1
725,TEST-725,15
726,TEST-726,33
727,TEST-727,33
728,TEST-728,51
729,TEST-729,79
730,TEST-730,29
731,TEST-731,42
732,TEST-732,78
733,TEST-733,73
734,TEST-734,58
735,TEST-735,47
736,TEST-736,67
737,TEST-737,27
738,TEST-738,91
739,TEST-739,71
740,TEST-740,20
741,TEST-741,4
742,TEST-742,98
743,TEST-743,26
744,TEST-744,47
745,TEST-745,79
746,TEST-746,23
747,TEST-747,21
748,TEST-748,62
749,TEST-749,59
750,TEST-750,98
751,TEST-751,2
752,TEST-752,56
753,TEST-753,61
754,TEST-754,72
755,TEST-755,73
756,TEST-756,14
757,TEST-757,68
758,TEST-758,61
759,TEST-759,25
760,TEST-760,33
761,TEST-761,60
762,TEST-762,55
763,TEST-763,50
764,TEST-764,8
765,TEST-765,5
766,TEST-766,12
767,TEST-767,91
768,TEST-768,89
769,TEST-769,34
770,TEST-770,96
771,TEST-771,95
772,TEST-772,64
773,TEST-773,68
774,TEST-774,19
775,TEST-775,83
776,TEST-776,79
777,TEST-777,73
778,TEST-778,41
779,TEST-779,15
780,TEST-780,13
781,TEST-781,1
782,TEST-782,23
783,TEST-783,96
784,TEST-784,91
785,TEST-785,31
786,TEST-786,84
787,TEST-787,95
788,TEST-788,45
789,TEST-789,38
790,TEST-790,10
791,TEST-791,45
792,TEST-792,1
793,TEST-793,18
794,TEST-794,27
795,TEST-795,76
796,TEST-796,96
797,TEST-797,93
798,TEST-798,12
799,TEST-799,32
800,TEST-800,29
801,TEST-801,52
802,TEST-802,84
803,TEST-803,1
804,TEST-804,31
805,TEST-805,63
806,TEST-806,69
807,TEST-807,21
808,TEST-808,6
809,TEST-809,33
810,TEST-810,72
811,TEST-811,36
812,TEST-812,36
813,TEST-813,21
814,TEST-814,67
815,TEST-815,10
816,TEST-816,81
817,TEST-817,13
818,TEST-818,99
819,TEST-819,8
820,TEST-820,61
821,TEST-821,82
822,TEST-822,92
823,TEST-823,25
824,TEST-824,61
825,TEST-825,72
826,TEST-826,40
827,TEST-827,37
828,TEST-828,88
829,TEST-829,74
830,TEST-830,39
831,TEST-831,68
832,TEST-832,50
833,TEST-833,60
834,TEST-834,68
835,TEST-835,9
836,TEST-836,42
837,TEST-837,47
838,TEST-838,51
839,TEST-839,73
840,TEST-840,16
841,TEST-841,75
842,TEST-842,28
843,TEST-843,25
844,TEST-844,91
845,TEST-845,18
846,TEST-846,4
847,TEST-847,49
848,TEST-848,16
849,TEST-849,32
850,TEST-850,80
851,TEST-851,56
852,TEST-852,58
853,TEST-853,38
854,TEST-854,49
855,TEST-855,26
856,TEST-856,73
857,TEST-857,30
858,TEST-858,43
859,TEST-859,57
860,TEST-860,35
861,TEST-861,10
862,TEST-862,79
863,TEST-863,56
864,TEST-864,16
865,TEST-865,16
866,TEST-866,90
867,TEST-867,94
868,TEST-868,96
869,TEST-869,80
870,TEST-870,54
871,TEST-871,25
872,TEST-872,56
873,TEST-873,97
874,TEST-874,3
875,TEST-875,40
876,TEST-876,54
877,TEST-877,60
878,TEST-878,74
879,TEST-879,14
880,TEST-880,56
881,TEST-881,27
882,TEST-882,56
883,TEST-883,94
884,TEST-884,6
885,TEST-885,47
886,TEST-886,37
887,TEST-887,47
888,TEST-888,92
889,TEST-889,47
890,TEST-890,18
891,TEST-891,17
892,TEST-892,14
893,TEST-893,3
894,TEST-894,63
895,TEST-895,82
896,TEST-896,41
897,TEST-897,34
898,TEST-898,64
899,TEST-899,38
900,TEST-900,86
901,TEST-901,86
902,TEST-902,9
903,TEST-903,44
904,TEST-904,73
905,TEST-905,45
906,TEST-906,88
907,TEST-907,87
908,TEST-908,90
909,TEST-909,33
910,TEST-910,50
911,TEST-911,3
912,TEST-912,82
913,TEST-913,38
914,TEST-914,17
915,TEST-915,56
916,TEST-916,78
917,TEST-917,56
918,TEST-918,14
919,TEST-919,18
920,TEST-920,12
921,TEST-921,53
922,TEST-922,82
923,TEST-923,21
924,TEST-924,75
925,TEST-925,74
926,TEST-926,57
927,TEST-927,45
928,TEST-928,82
929,TEST-929,16
930,TEST-930,51
931,TEST-931,30
932,TEST-932,71
933,TEST-933,66
934,TEST-934,81
935,TEST-935,65
936,TEST-936,98
937,TEST-937,35
938,TEST-938,91
939,TEST-939,9
940,TEST-940,3
941,TEST-941,3
942,TEST-942,84
943,TEST-943,82
944,TEST-944,92
945,TEST-945,17
946,TEST-946,39
947,TEST-947,90
948,TEST-948,16
949,TEST-949,16
950,TEST-950,7
951,TEST-951,11
952,TEST-952,18
953,TEST-953,47
954,TEST-954,52
955,TEST-955,75
956,TEST-956,37
957,TEST-957,69
958,TEST-958,98
959,TEST-959,48
960,TEST-960,49
961,TEST-961,89
962,TEST-962,3
963,TEST-963,17
964,TEST-964,74
965,TEST-965,98
966,TEST-966,20
967,TEST-967,67
968,TEST-968,53
969,TEST-969,86
970,TEST-970,99
971,TEST-971,79
972,TEST-972,51
973,TEST-973,27
974,TEST-974,42
975,TEST-975,59
976,TEST-976,47
977,TEST-977,15
978,TEST-978,73
979,TEST-979,32
980,TEST-980,59
981,TEST-981,90
982,TEST-982,53
983,TEST-983,78
984,TEST-984,9
985,TEST-985,42
986,TEST-986,49
987,TEST-987,2
988,TEST-988,31
989,TEST-989,13
990,TEST-990,10
991,TEST-991,11
992,TEST-992,91
993,TEST-993,87
994,TEST-994,13
995,TEST-995,45
996,TEST-996,76
997,TEST-997,62
998,TEST-998,9
999,TEST-999,57
1000,TEST-1000,86
1001,TEST-1001,71
1002,TEST-1002,94
1003,TEST-1003,67
1004,TEST-1004,42
1005,TEST-1005,26
1006,TEST-1006,6
1007,TEST-1007,2
1008,TEST-1008,47
1009,TEST-1009,72
1010,TEST-1010,11
1011,TEST-1011,33
1012,TEST-1012,89
1013,TEST-1013,83
1014,TEST-1014,59
1015,TEST-1015,47
1016,TEST-1016,18
1017,TEST-1017,53
1018,TEST-1018,20
1019,TEST-1019,57
1020,TEST-1020,47
1021,TEST-1021,5
1022,TEST-1022,27
1023,TEST-1023,99
1024,TEST-1024,57
1025,TEST-1025,28
1026,TEST-1026,34
1027,TEST-1027,24
1028,TEST-1028,21
1029,TEST-1029,70
1030,TEST-1030,32
1031,TEST-1031,59
1032,TEST-1032,32
1033,TEST-1033,63
1034,TEST-1034,23
1035,TEST-1035,86
1036,TEST-1036,9
1037,TEST-1037,47
1038,TEST-1038,48
1039,TEST-1039,28
1040,TEST-1040,69
1041,TEST-1041,16
1042,TEST-1042,85
1043,TEST-1043,48
1044,TEST-1044,15
1045,TEST-1045,41
1046,TEST-1046,64
1047,TEST-1047,89
1048,TEST-1048,74
1049,TEST-1049,88
1050,TEST-1050,86
1051,TEST-1051,52
1052,TEST-1052,27
1053,TEST-1053,22
1054,TEST-1054,9
1055,TEST-1055,55
1056,TEST-1056,90
1057,TEST-1057,31
1058,TEST-1058,12
1059,TEST-1059,72
1060,TEST-1060,40
1061,TEST-1061,41
1062,TEST-1062,71
1063,TEST-1063,45
1064,TEST-1064,70
1065,TEST-1065,70
1066,TEST-1066,95
1067,TEST-1067,79
1068,TEST-1068,65
1069,TEST-1069,37
1070,TEST-1070,63
1071,TEST-1071,52
1072,TEST-1072,13
1073,TEST-1073,55
1074,TEST-1074,31
1075,TEST-1075,90
1076,TEST-1076,99
1077,TEST-1077,50
1078,TEST-1078,86
1079,TEST-1079,71
1080,TEST-1080,20
1081,TEST-1081,6
1082,TEST-1082,74
1083,TEST-1083,68
1084,TEST-1084,12
1085,TEST-1085,27
1086,TEST-1086,5
1087,TEST-1087,86
1088,TEST-1088,42
1089,TEST-1089,10
1090,TEST-1090,27
1091,TEST-1091,57
1092,TEST-1092,8
1093,TEST-1093,29
1094,TEST-1094,99
1095,TEST-1095,37
1096,TEST-1096,9
1097,TEST-1097,77
1098,TEST-1098,80
1099,TEST-1099,15
1100,TEST-1100,29
1101,TEST-1101,98
1102,TEST-1102,98
1103,TEST-1103,69
1104,TEST-1104,4
1105,TEST-1105,77
1106,TEST-1106,49
1107,TEST-1107,24
1108,TEST-1108,12
1109,TEST-1109,83
1110,TEST-1110,88
1111,TEST-1111,36
1112,TEST-1112,22
1113,TEST-1113,96
1114,TEST-1114,4
1115,TEST-1115,6
1116,TEST-1116,67
1117,TEST-1117,93
1118,TEST-1118,75
1119,TEST-1119,66
1120,TEST-1120,59
1121,TEST-1121,93
1122,TEST-1122,37
1123,TEST-1123,78
1124,TEST-1124,72
1125,TEST-1125,53
1126,TEST-1126,65
1127,TEST-1127,96
1128,TEST-1128,26
1129,TEST-1129,79
1130,TEST-1130,28
1131,TEST-1131,8
1132,TEST-1132,88
1133,TEST-1133,25
1134,TEST-1134,98
1135,TEST-1135,24
1136,TEST-1136,29
1137,TEST-1137,68
1138,TEST-1138,72
1139,TEST-1139,78
1140,TEST-1140,45
1141,TEST-1141,96
1142,TEST-1142,40
1143,TEST-1143,79
1144,TEST-1144,6
1145,TEST-1145,43
1146,TEST-1146,19
1147,TEST-1147,8
1148,TEST-1148,53
1149,TEST-1149,22
1150,TEST-1150,7
1151,TEST-1151,49
1152,TEST-1152,71
1153,TEST-1153,59
1154,TEST-1154,2
1155,TEST-1155,35
1156,TEST-1156,86
1157,TEST-1157,34
1158,TEST-1158,57
1159,TEST-1159,52
1160,TEST-1160,50
1161,TEST-1161,93
1162,TEST-1162,50
1163,TEST-1163,7
1164,TEST-1164,30
1165,TEST-1165,3
1166,TEST-1166,28
1167,TEST-1167,90
1168,TEST-1168,53
1169,TEST-1169,3
1170,TEST-1170,89
1171,TEST-1171,9
1172,TEST-1172,71
1173,TEST-1173,62
1174,TEST-1174,75
1175,TEST-1175,47
1176,TEST-1176,43
1177,TEST-1177,53
1178,TEST-1178,32
1179,TEST-1179,85
1180,TEST-1180,37
1181,TEST-1181,99
1182,TEST-1182,6
1183,TEST-1183,22
1184,TEST-1184,48
1185,TEST-1185,21
1186,TEST-1186,18
1187,TEST-1187,26
1188,TEST-1188,59
1189,TEST-1189,31
1190,TEST-1190,72
1191,TEST-1191,34
1192,TEST-1192,75
1193,TEST-1193,28
1194,TEST-1194,35
1195,TEST-1195,45
1196,TEST-1196,27
1197,TEST-1197,47
1198,TEST-1198,33
1199,TEST-1199,27
1200,TEST-1200,37
1201,TEST-1201,49
1202,TEST-1202,8
1203,TEST-1203,94
1204,TEST-1204,7
1205,TEST-1205,97
1206,TEST-1206,95
1207,TEST-1207,95
1208,TEST-1208,74
1209,TEST-1209,1
1210,TEST-1210,69
1211,TEST-1211,11
1212,TEST-1212,88
1213,TEST-1213,17
1214,TEST-1214,52
1215,TEST-1215,2
1216,TEST-1216,68
1217,TEST-1217,29
1218,TEST-1218,39
1219,TEST-1219,59
1220,TEST-1220,96
1221,TEST-1221,14
1222,TEST-1222,81
1223,TEST-1223,82
1224,TEST-1224,24
1225,TEST-1225,32
1226,TEST-1226,88
1227,TEST-1227,27
1228,TEST-1228,29
1229,TEST-1229,7
1230,TEST-1230,69
1231,TEST-1231,89
1232,TEST-1232,87
1233,TEST-1233,53
1234,TEST-1234,50
1235,TEST-1235,85
1236,TEST-1236,45
1237,TEST-1237,9
1238,TEST-1238,94
1239,TEST-1239,59
1240,TEST-1240,69
1241,TEST-1241,73
1242,TEST-1242,88
1243,TEST-1243,14
1244,TEST-1244,78
1245,TEST-1245,63
1246,TEST-1246,14
1247,TEST-1247,65
1248,TEST-1248,97
1249,TEST-1249,100
1250,TEST-1250,2
1251,TEST-1251,63
1252,TEST-1252,73
1253,TEST-1253,85
1254,TEST-1254,54
1255,TEST-1255,66
1256,TEST-1256,8
1257,TEST-1257,47
1258,TEST-1258,60
1259,TEST-1259,24
1260,TEST-1260,47
1261,TEST-1261,40
1262,TEST-1262,41
1263,TEST-1263,75
1264,TEST-1264,92
1265,TEST-1265,23
1266,TEST-1266,39
1267,TEST-1267,76
1268,TEST-1268,43
1269,TEST-1269,13
1270,TEST-1270,12
1271,TEST-1271,90
1272,TEST-1272,96
1273,TEST-1273,4
1274,TEST-1274,57
1275,TEST-1275,83
1276,TEST-1276,80
1277,TEST-1277,45
1278,TEST-1278,59
1279,TEST-1279,47
1280,TEST-1280,88
1281,TEST-1281,47
1282,TEST-1282,6
1283,TEST-1283,34
1284,TEST-1284,14
1285,TEST-1285,2
1286,TEST-1286,86
1287,TEST-1287,97
1288,TEST-1288,63
1289,TEST-1289,96
1290,TEST-1290,27
1291,TEST-1291,78
1292,TEST-1292,2
1293,TEST-1293,20
1294,TEST-1294,55
1295,TEST-1295,32
1296,TEST-1296,58
1297,TEST-1297,80
1298,TEST-1298,67
1299,TEST-1299,43
1300,TEST-1300,9
1301,TEST-1301,19
1302,TEST-1302,5
1303,TEST-1303,12
1304,TEST-1304,31
1305,TEST-1305,56
1306,TEST-1306,95
1307,TEST-1307,94
1308,TEST-1308,44
1309,TEST-1309,58
1310,TEST-1310,34
1311,TEST-1311,87
1312,TEST-1312,66
1313,TEST-1313,16
1314,TEST-1314,22
1315,TEST-1315,67
1316,TEST-1316,70
1317,TEST-1317,57
1318,TEST-1318,74
1319,TEST-1319,92
1320,TEST-1320,28
